SONG,YOUTUBE_URL
apna bana le,https://www.youtube.com/embed/=78iQIlwX1D4
channa mereya,https://www.youtube.com/embed/xzVVMDZGfQA
kaise hua,https://www.youtube.com/embed/-2ypmKt3pm4
khamoshiyaan,https://www.youtube.com/embed/0WLIRj7hHKs
lag ja gale,https://www.youtube.com/embed/vHdZ5UcEqhA
perfect,https://www.youtube.com/embed/M9sDYrohrG8
phir bhi tumko chahunga,https://www.youtube.com/embed/8oxBXdGuubg
phir mohabbat,https://www.youtube.com/embed/6X8MjBVgEv4
satranga,https://www.youtube.com/embed/ySu38vvC4po
the night we met,https://www.youtube.com/embed/_r2FS1nJjJ8
tu jaane na,https://www.youtube.com/embed/3opIK5j3Sf8
tuje kitna chahane lage hum,https://www.youtube.com/embed/jG6YoTnUD50
uska hi bana,https://www.youtube.com/embed/feU74NifYv4
ve kamleya,https://www.youtube.com/embed/VJXoinFtT4M
