SONG ,ARTIST ,YEAR
apna bana le,ARIJIT SINGH ,2023
channa mereya,ARIJIT SINGH ,2016
kaise hua,VISHAL MISHRA ,2019
khamoshiyaan,ARIJIT SINGH ,2015
lag ja gale,LATA MANGESHKAR,1964
perfect,ED SHEERAN,2017
phir bhi tumko chahunga,ARIJIT SINGH ,2017
phir mohabbat,ARIJIT SINGH ,2011
satranga,ARIJIT SINGH ,2023
the night we met,LORD HURON ,2015
tu jaane na,ATIF ASLAM ,2009
tuje kitna chahane lage hum,ARIJIT SINGH ,2019
uska hi bana,ARIJIT SINGH ,2012
ve kamleya,ARIJIT SINGH ,2023
,JAVED BASHIR,2013
